"","ITER","SEXF","AGEGRP","HTWT_COR"
"1",1,0,"[25,36)",0.711961448283552
"2",1,1,"[25,36)",0.688479762423036
"3",1,0,"[36,48)",0.782530102080886
"4",1,1,"[36,48)",0.781684142123796
"5",1,0,"[48,60)",0.818216120868378
"6",1,1,"[48,60)",0.813806948693042
"7",1,0,"[60,72)",0.810926103792955
"8",1,1,"[60,72)",0.792574171803219
"9",1,0,"[72,84)",0.780630127697195
"10",1,1,"[72,84)",0.753749475385752
"11",1,0,"[84,96)",0.669009951982408
"12",1,1,"[84,96)",0.697650256907804
"13",1,0,"[96,108)",0.634707333309273
"14",1,1,"[96,108)",0.675700719379077
"15",1,0,"[108,120)",0.659906403460322
"16",1,1,"[108,120)",0.677588199770749
"17",1,0,"[120,132)",0.68244228424791
"18",1,1,"[120,132)",0.692757046059157
"19",1,0,"[132,144)",0.722384677786077
"20",1,1,"[132,144)",0.640323999689692
"21",1,0,"[144,156)",0.641486523854881
"22",1,1,"[144,156)",0.554206529404274
"23",1,0,"[156,168)",0.573089362254242
"24",1,1,"[156,168)",0.460268925631572
"25",1,0,"[168,180)",0.496905420783373
"26",1,1,"[168,180)",0.423526364523994
"27",1,0,"[180,192)",0.416683795209357
"28",1,1,"[180,192)",0.363520377781553
"29",1,0,"[192,204)",0.397537480904641
"30",1,1,"[192,204)",0.274691993022341
"31",1,0,"[204,216)",0.441792446867502
"32",1,1,"[204,216)",0.238661440052288
"33",1,0,"[216,228)",0.444938051901011
"34",1,1,"[216,228)",0.237300060284469
"35",1,0,"[228,240)",0.39014737690468
"36",1,1,"[228,240)",0.112122727783426
"37",2,0,"[25,36)",0.703835160625104
"38",2,1,"[25,36)",0.679678719526552
"39",2,0,"[36,48)",0.765956869634086
"40",2,1,"[36,48)",0.775089460769027
"41",2,0,"[48,60)",0.823110421706501
"42",2,1,"[48,60)",0.827743451512653
"43",2,0,"[60,72)",0.810794536441545
"44",2,1,"[60,72)",0.792861288650087
"45",2,0,"[72,84)",0.766266160673109
"46",2,1,"[72,84)",0.757299569173378
"47",2,0,"[84,96)",0.710681902175072
"48",2,1,"[84,96)",0.696014917021041
"49",2,0,"[96,108)",0.671484876325135
"50",2,1,"[96,108)",0.674045256147441
"51",2,0,"[108,120)",0.674463842288137
"52",2,1,"[108,120)",0.704023684273887
"53",2,0,"[120,132)",0.689594932725296
"54",2,1,"[120,132)",0.698458105290428
"55",2,0,"[132,144)",0.723032475202407
"56",2,1,"[132,144)",0.622809113158063
