"","SEXF","AGEGRP","NITER","NSUBJ_AGEMO_SEXF","MEAN_HTWT_COR"
"1",0,"[25,36)",10,1000,0.699484884869525
"2",1,"[25,36)",10,1000,0.686913060118071
"3",0,"[36,48)",10,1000,0.771386337726974
"4",1,"[36,48)",10,1000,0.781512793022798
"5",0,"[48,60)",10,1000,0.818337111064301
"6",1,"[48,60)",10,1000,0.820350137012373
"7",0,"[60,72)",10,1000,0.813623012557133
"8",1,"[60,72)",10,1000,0.789814122091251
"9",0,"[72,84)",10,1000,0.779567330449085
"10",1,"[72,84)",10,1000,0.757317213676143
"11",0,"[84,96)",10,1000,0.723246448950739
"12",1,"[84,96)",10,1000,0.68151860172651
"13",0,"[96,108)",10,1000,0.675464781939532
"14",1,"[96,108)",10,1000,0.661319318722378
"15",0,"[108,120)",10,1000,0.662049217953059
"16",1,"[108,120)",10,1000,0.682306435625914
"17",0,"[120,132)",10,1000,0.690619787749893
"18",1,"[120,132)",10,1000,0.676450438079946
"19",0,"[132,144)",10,1000,0.711500110423307
"20",1,"[132,144)",10,1000,0.63329532707135
"21",0,"[144,156)",10,1000,0.668975797434298
"22",1,"[144,156)",10,1000,0.54341692132174
"23",0,"[156,168)",10,1000,0.585866584099779
"24",1,"[156,168)",10,1000,0.481536364328206
"25",0,"[168,180)",10,1000,0.493567038828516
"26",1,"[168,180)",10,1000,0.431957481235364
"27",0,"[180,192)",10,1000,0.441203588056934
"28",1,"[180,192)",10,1000,0.367421138158141
"29",0,"[192,204)",10,1000,0.440848194967555
"30",1,"[192,204)",10,1000,0.306396598966568
"31",0,"[204,216)",10,1000,0.453774536145102
"32",1,"[204,216)",10,1000,0.249014865335687
"33",0,"[216,228)",10,1000,0.430229028706496
"34",1,"[216,228)",10,1000,0.200090273275815
"35",0,"[228,240)",10,1000,0.371144721772296
"36",1,"[228,240)",10,1000,0.112315542815573
