"CHART","VAR","SEXF","AGEGRP","L","M","S","P3","P5","P10","P25","P50","P75","P90","P95","P97"
"FENTON","WTKG",0,"PNA: 0; GA_WK: [22,23)",0.379662011879947,0.545372218651886,0.13733532643129,0.4105,,0.4629,,0.5415,,0.6463,,0.6987
"FENTON","WTKG",0,"PNA: 0; GA_WK: [23,24)",0.658465017679065,0.579171853976012,0.143531652335002,0.4279,,0.4803,,0.5764,,0.69,,0.7424
"FENTON","WTKG",0,"PNA: 0; GA_WK: [24,25)",1.3138108103677,0.67113718224079,0.158298553131279,0.4541,,0.5415,,0.6638,,0.8035,,0.8646
"FENTON","WTKG",0,"PNA: 0; GA_WK: [25,26)",0.927266097554386,0.745874694638669,0.174239173104515,0.5066,,0.5764,,0.7511,,0.9083,,0.9956
"FENTON","WTKG",0,"PNA: 0; GA_WK: [26,27)",1.13500222050247,0.844401828169561,0.185981652267057,0.5415,,0.6376,,0.8472,,1.0393,,1.1354
"FENTON","WTKG",0,"PNA: 0; GA_WK: [27,28)",1.38342228283856,0.962168128375611,0.195324279224671,0.5764,,0.7074,,0.9607,,1.1965,,1.2926
"FENTON","WTKG",0,"PNA: 0; GA_WK: [28,29)",1.78085383125738,1.09846960263892,0.202536780966607,0.5764,,0.786,,1.0917,,1.3537,,1.476
"FENTON","WTKG",0,"PNA: 0; GA_WK: [29,30)",1.88993227366957,1.24188895902736,0.203469867896322,0.6201,,0.8908,,1.2227,,1.5284,,1.6681
"FENTON","WTKG",0,"PNA: 0; GA_WK: [30,31)",1.91025111386158,1.4177077884952,0.205768393554894,0.69,,1.0131,,1.3886,,1.7555,,1.9039
"FENTON","WTKG",0,"PNA: 0; GA_WK: [31,32)",1.87458189311114,1.61254209809595,0.208437841082462,0.786,,1.1354,,1.5895,,2.0087,,2.1659
"FENTON","WTKG",0,"PNA: 0; GA_WK: [32,33)",1.99617432710116,1.82500083551189,0.198157076498544,0.9083,,1.3188,,1.7904,,2.2358,,2.4279
"FENTON","WTKG",0,"PNA: 0; GA_WK: [33,34)",1.87453831320605,2.03966383716704,0.1954907437899,1.0742,,1.5022,,2,,2.4978,,2.7162
"FENTON","WTKG",0,"PNA: 0; GA_WK: [34,35)",1.96143303529187,2.29431573630341,0.184575432380767,1.2576,,1.7293,,2.2445,,2.7773,,3.0131
"FENTON","WTKG",0,"PNA: 0; GA_WK: [35,36)",1.94435099747945,2.5357165035608,0.174349053180201,1.4847,,1.9389,,2.4978,,3.048,,3.2838
"FENTON","WTKG",0,"PNA: 0; GA_WK: [36,37)",2.08395093201521,2.78714339609322,0.161095151564302,1.7031,,2.1834,,2.7424,,3.3013,,3.5459
"FENTON","WTKG",0,"PNA: 0; GA_WK: [37,38)",1.9739092500979,2.99894956855377,0.155256249575315,1.9127,,2.393,,2.952,,3.5371,,3.7991
"FENTON","WTKG",0,"PNA: 0; GA_WK: [38,39)",1.79129663647747,3.20052293759112,0.148524463283602,2.1397,,2.6026,,3.1616,,3.7467,,4.0437
"FENTON","WTKG",0,"PNA: 0; GA_WK: [39,40)",1.3427302009259,3.38893997318384,0.14223005391148,2.4081,,2.7948,,3.3624,,3.9825,,4.2707
"FENTON","WTKG",0,"PNA: 0; GA_WK: [40,40]",0.747622051596636,3.57893085580089,0.129852057447603,2.7336,,2.9956,,3.5808,,4.1834,,4.4803
"FENTON","WTKG",1,"PNA: 0; GA_WK: [22,23)",-0.0138474766207284,0.481242755683837,0.148687413848051,0.3619,,0.4012,,0.4799,,0.5822,,0.6372
"FENTON","WTKG",1,"PNA: 0; GA_WK: [23,24)",0.290297344573471,0.511782471545387,0.154962043685405,0.3776,,0.417,,0.5114,,0.6215,,0.6766
"FENTON","WTKG",1,"PNA: 0; GA_WK: [24,25)",0.93866848783481,0.585838492889193,0.167879140344856,0.4012,,0.4642,,0.5822,,0.7159,,0.771
"FENTON","WTKG",1,"PNA: 0; GA_WK: [25,26)",0.846341290222941,0.67117051568253,0.18893349402574,0.4406,,0.5114,,0.6687,,0.8418,,0.9126
"FENTON","WTKG",1,"PNA: 0; GA_WK: [26,27)",1.06906227189461,0.763947065928861,0.206099159234091,0.4642,,0.5586,,0.7631,,0.9677,,1.0542
"FENTON","WTKG",1,"PNA: 0; GA_WK: [27,28)",1.15688516971157,0.874181662003379,0.220931552446745,0.4956,,0.6215,,0.8733,,1.1171,,1.2273
"FENTON","WTKG",1,"PNA: 0; GA_WK: [28,29)",1.26275198638899,0.996964916343116,0.229135394885573,0.535,,0.6923,,0.9913,,1.2902,,1.4003
"FENTON","WTKG",1,"PNA: 0; GA_WK: [29,30)",1.27851598337997,1.13057293598812,0.237639564032742,0.5822,,0.771,,1.125,,1.4712,,1.6049
"FENTON","WTKG",1,"PNA: 0; GA_WK: [30,31)",1.14122204848675,1.28086112355436,0.237857199285022,0.6844,,0.8811,,1.2823,,1.66,,1.8409
"FENTON","WTKG",1,"PNA: 0; GA_WK: [31,32)",1.08430254330339,1.45953162971086,0.23383403308652,0.8024,,1.0149,,1.4633,,1.8881,,2.0927
"FENTON","WTKG",1,"PNA: 0; GA_WK: [32,33)",1.05975599230423,1.66985602478479,0.220074269942622,0.9677,,1.1958,,1.6678,,2.1399,,2.3523
"FENTON","WTKG",1,"PNA: 0; GA_WK: [33,34)",0.898063155348264,1.87298369704602,0.20921626224763,1.1486,,1.3846,,1.8724,,2.3759,,2.6276
"FENTON","WTKG",1,"PNA: 0; GA_WK: [34,35)",0.705293825500665,2.10029940623774,0.198382113925331,1.361,,1.5892,,2.1005,,2.6512,,2.9266
"FENTON","WTKG",1,"PNA: 0; GA_WK: [35,36)",0.587991616390535,2.34105259862306,0.182256284236272,1.5892,,1.833,,2.3365,,2.9108,,3.2019
"FENTON","WTKG",1,"PNA: 0; GA_WK: [36,37)",0.470322646149251,2.58959097428241,0.170595937054725,1.8252,,2.0612,,2.5883,,3.1862,,3.493
"FENTON","WTKG",1,"PNA: 0; GA_WK: [37,38)",0.343014675603178,2.82388589259082,0.162563769300842,2.0455,,2.2736,,2.8243,,3.4537,,3.7762
"FENTON","WTKG",1,"PNA: 0; GA_WK: [38,39)",0.241965935238182,3.03695857907989,0.155809961633191,2.2421,,2.4703,,3.0446,,3.6818,,4.0358
"FENTON","WTKG",1,"PNA: 0; GA_WK: [39,40)",0.134908918701893,3.22220080526822,0.152937543965867,2.4073,,2.6355,,3.2255,,3.91,,4.2719
"FENTON","WTKG",1,"PNA: 0; GA_WK: [40,40]",0.0542915762915011,3.39365156036455,0.147540645513647,2.5647,,2.8086,,3.3907,,4.0988,,4.4685
