TIME_WK,WTKG,PTILE,SEXF
22,0.3619,3,1
23,0.3776,3,1
24,0.4012,3,1
25,0.4406,3,1
26,0.4642,3,1
27,0.4956,3,1
28,0.535,3,1
29,0.5822,3,1
30,0.6844,3,1
31,0.8024,3,1
32,0.9677,3,1
33,1.1486,3,1
34,1.361,3,1
35,1.5892,3,1
36,1.8252,3,1
37,2.0455,3,1
38,2.2421,3,1
39,2.4073,3,1
40,2.5647,3,1
22,0.4012,10,1
23,0.417,10,1
24,0.4642,10,1
25,0.5114,10,1
26,0.5586,10,1
27,0.6215,10,1
28,0.6923,10,1
29,0.771,10,1
30,0.8811,10,1
31,1.0149,10,1
32,1.1958,10,1
33,1.3846,10,1
34,1.5892,10,1
35,1.833,10,1
36,2.0612,10,1
37,2.2736,10,1
38,2.4703,10,1
39,2.6355,10,1
40,2.8086,10,1
22,0.4799,50,1
23,0.5114,50,1
24,0.5822,50,1
25,0.6687,50,1
26,0.7631,50,1
27,0.8733,50,1
28,0.9913,50,1
29,1.125,50,1
30,1.2823,50,1
31,1.4633,50,1
32,1.6678,50,1
33,1.8724,50,1
34,2.1005,50,1
35,2.3365,50,1
36,2.5883,50,1
37,2.8243,50,1
38,3.0446,50,1
39,3.2255,50,1
40,3.3907,50,1
22,0.5822,90,1
23,0.6215,90,1
24,0.7159,90,1
25,0.8418,90,1
26,0.9677,90,1
27,1.1171,90,1
28,1.2902,90,1
29,1.4712,90,1
30,1.66,90,1
31,1.8881,90,1
32,2.1399,90,1
33,2.3759,90,1
34,2.6512,90,1
35,2.9108,90,1
36,3.1862,90,1
37,3.4537,90,1
38,3.6818,90,1
39,3.91,90,1
40,4.0988,90,1
22,0.6372,97,1
23,0.6766,97,1
24,0.771,97,1
25,0.9126,97,1
26,1.0542,97,1
27,1.2273,97,1
28,1.4003,97,1
29,1.6049,97,1
30,1.8409,97,1
31,2.0927,97,1
32,2.3523,97,1
33,2.6276,97,1
34,2.9266,97,1
35,3.2019,97,1
36,3.493,97,1
37,3.7762,97,1
38,4.0358,97,1
39,4.2719,97,1
40,4.4685,97,1
