"CHART","VAR","SEXF","AGEGRP","L","M","S","P3","P5","P10","P25","P50","P75","P90","P95","P97"
"CDC","WTKG",0,"[0,0]",1.815151075,3.530203168,0.152385273,2.355450986,2.52690402,2.773801848,3.150611082,3.530203168,3.879076559,4.17249339,4.34029274,4.446488308
"CDC","WTKG",0,"(0,1)",1.547523128,4.003106424,0.146025021,2.799548641,2.964655655,3.209510017,3.597395573,4.003106424,4.387422565,4.718161283,4.910130108,5.032624982
"CDC","WTKG",0,"[1,2)",1.068795548,4.879525083,0.136478767,3.614688072,3.774848862,4.020561446,4.428872952,4.879525083,5.327327567,5.728152752,5.967101615,6.121929103
"CDC","WTKG",0,"[2,3)",0.695973505,5.672888765,0.129677511,4.34234145,4.503255345,4.754479354,5.183377547,5.672888765,6.175598158,6.638979132,6.921119162,7.106250132
"CDC","WTKG",0,"[3,4)",0.41981509,6.391391982,0.124717085,4.992897896,5.157411653,5.416802856,5.866806254,6.391391982,6.942217106,7.460702368,7.781401145,7.993878049
"CDC","WTKG",0,"[4,5)",0.219866801,7.041836432,0.121040119,5.575169066,5.744751566,6.01371624,6.484969167,7.041836432,7.635323002,8.202193202,8.556813353,8.793443663
"CDC","WTKG",0,"[5,6)",0.077505598,7.630425182,0.1182712,6.096775274,6.272175299,6.551379244,7.043626918,7.630425182,8.262032991,8.871384112,9.255614546,9.51330656
"CDC","WTKG",0,"[6,7)",-0.02190761,8.162951035,0.116153695,6.564430346,6.745992665,7.035656404,7.548345716,8.162951035,8.828786159,9.47546616,9.885435743,10.16135019
"CDC","WTKG",0,"[7,8)",-0.0894409,8.644832479,0.114510349,6.984123338,7.171952393,7.472021438,8.004398775,8.644832479,9.34149038,10.02101374,10.45331433,10.74492376
"CDC","WTKG",0,"[8,9)",-0.1334091,9.081119817,0.113217163,7.361236116,7.555286752,7.865532922,8.416718775,9.081119817,9.805593364,10.51406421,10.96573632,11.27083843
"CDC","WTKG",0,"[9,10)",-0.1600954,9.476500305,0.11218624,7.700624405,7.90075516,8.220839211,8.789881892,9.476500305,10.22612395,10.96017225,11.42867623,11.74538465
"CDC","WTKG",0,"[10,11)",-0.17429685,9.835307701,0.111354536,8.006677447,8.212683538,8.542195484,9.128109523,9.835307701,10.60772151,11.36445045,11.84763282,12.17435729
"CDC","WTKG",0,"[11,12)",-0.1797189,10.16153567,0.110676413,8.283364855,8.494999555,8.833485623,9.43527941,10.16153567,10.9546603,11.73160184,12.2276612,12.56308347
"CDC","WTKG",0,"[12,13)",-0.179254,10.45885399,0.110118635,8.534275028,8.751264252,9.098245709,9.714941801,10.45885399,11.27087147,12.06594792,12.57340193,12.91645043
"CDC","WTKG",0,"[13,14)",-0.17518447,10.7306256,0.109656941,8.762648582,8.984701111,9.339687673,9.970337596,10.7306256,11.55996332,12.37145331,12.88910809,13.23893338
"CDC","WTKG",0,"[14,15)",-0.16932268,10.97992482,0.109273653,8.971407287,9.198222429,9.560722369,10.20441778,10.97992482,11.82524099,12.65174864,13.17867019,13.53462171
"CDC","WTKG",0,"[15,16)",-0.1631139,11.20955529,0.10895596,9.163180317,9.394453831,9.763981751,10.41986276,11.20955529,12.06972515,12.91015164,13.44563963,13.80724431
"CDC","WTKG",0,"[16,17)",-0.15770999,11.4220677,0.108694678,9.340328068,9.575756968,9.951839998,10.61910138,11.4220677,12.29616991,13.14968707,13.6932508,14.0601935
"CDC","WTKG",0,"[17,18)",-0.15402279,11.61977698,0.108483324,9.504964014,9.744250626,10.12643352,10.80432929,11.61977698,12.50708008,13.37310558,13.92444193,14.29654774
"CDC","WTKG",0,"[18,19)",-0.15276214,11.80477902,0.108317416,9.658974787,9.901830339,10.28967982,10.97752662,11.80477902,12.70472779,13.58290165,14.14187481,14.51909298
"CDC","WTKG",0,"[19,20)",-0.15446658,11.9789663,0.108193944,9.804039109,10.05018686,10.44329524,11.14047457,11.9789663,12.89116805,13.78133058,14.34795358,14.73034312
"CDC","WTKG",0,"[20,21)",-0.15952202,12.14404334,0.108110954,9.941644878,10.19082308,10.58881155,11.2947714,12.14404334,13.06825426,13.9704249,14.54484233,14.93255878
"CDC","WTKG",0,"[21,22)",-0.16817926,12.30154103,0.108067236,10.07310549,10.32507004,10.72759156,11.44184727,12.30154103,13.23765258,14.15200982,14.73448194,15.12776542
"CDC","WTKG",0,"[22,23)",-0.1805668,12.45283028,0.108062078,10.19957488,10.45410181,10.86084353,11.58297823,12.45283028,13.40085582,14.3277181,14.91860604,15.31777023
"CDC","WTKG",0,"[23,24)",-0.19670196,12.59913494,0.108095077,10.32206165,10.57894925,10.98963476,11.7192993,12.59913494,13.55919667,14.49900418,15.09875606,15.50417803
"CDC","WTKG",0,"[24,25)",-0.216501213,12.74154396,0.108166006,10.4414422,10.70051298,11.11490406,11.85181666,12.74154396,13.71386029,14.6671577,15.27629562,15.68840631
"CDC","WTKG",0,"[25,26)",-0.239790488,12.88102276,0.108274706,10.55847309,10.81957536,11.23747341,11.98141892,12.88102276,13.86589625,14.83331632,15.45242405,15.87169941
